"Product Name"," Item SKU ","Variation ID"," Product Status ","Qty ","Variant","Product Image"
"Ready Tule Scarf","57422525321700","14975614026020","warehouse","1","","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/2_335efd83-ffd8-43b3-a6a9-f005d6f9d403.jpg?v=1719819826"
"Ready Tule Scarf","57422525321700","14978665873700","warehouse","1","","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/2_335efd83-ffd8-43b3-a6a9-f005d6f9d403.jpg?v=1719819826"
"Breathable Sleeveless Dress","18499262200240","14979118104868","warehouse","1","Offwhite / L/XL","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/5_836e83bd-b0f5-4061-9c0f-a5b507d2053c.jpg?v=1717493312"
"Ready Tulle Scarf","57422525321700","14980122149156","warehouse","1","","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/2_335efd83-ffd8-43b3-a6a9-f005d6f9d403.jpg?v=1719819826"
"Zipper Modest Burkini","17499169921720","14980348379428","warehouse","1","S/M","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/4_067d46ee-1810-47fc-84b8-c2f15af828c1.jpg?v=1717763801"
"Ready Tulle Scarf","57422525321700","14980348412196","warehouse","1","","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/2_335efd83-ffd8-43b3-a6a9-f005d6f9d403.jpg?v=1719819826"
"Black Waist Cover Up","57499160621700","14980351918372","warehouse","1","Free size","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/2_011e0c35-7461-49b5-baef-d2f510709e4c.jpg?v=1719503134"
"Ready Tulle Scarf","57422525321700","14980351951140","warehouse","1","","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/2_335efd83-ffd8-43b3-a6a9-f005d6f9d403.jpg?v=1719819826"
"Bubbly Cover Up","10099090041217","14980445831460","warehouse","1","4 / Free size","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/5_4e360738-4654-48ce-a81e-22eebcd728ed.jpg?v=1718194937"
"Ready Tulle Scarf","57422525321700","14980540006692","warehouse","1","","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/2_335efd83-ffd8-43b3-a6a9-f005d6f9d403.jpg?v=1719819826"
"Ready Tulle Scarf","57422525321700","14980542595364","warehouse","2","","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/2_335efd83-ffd8-43b3-a6a9-f005d6f9d403.jpg?v=1719819826"
"Ready Tulle Scarf","57422525321700","14980580671780","warehouse","1","","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/2_335efd83-ffd8-43b3-a6a9-f005d6f9d403.jpg?v=1719819826"
"Ready Tulle Scarf","57422525321700","14980614226212","warehouse","1","","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/2_335efd83-ffd8-43b3-a6a9-f005d6f9d403.jpg?v=1719819826"
"Ready Tulle Scarf","57422525321700","14980636967204","warehouse","2","","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/2_335efd83-ffd8-43b3-a6a9-f005d6f9d403.jpg?v=1719819826"
"Ready Tulle Scarf","57422525321700","14980658823460","warehouse","1","","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/2_335efd83-ffd8-43b3-a6a9-f005d6f9d403.jpg?v=1719819826"
"Ready Tulle Scarf","57422525321700","14979006464292","warehouse","1","","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/2_335efd83-ffd8-43b3-a6a9-f005d6f9d403.jpg?v=1719819826"
"Ready Tulle Scarf","57422525321700","14981728141604","warehouse","1","","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/2_335efd83-ffd8-43b3-a6a9-f005d6f9d403.jpg?v=1719819826"
"Ready Tulle Scarf","57422525321700","14981728862500","warehouse","1","","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/2_335efd83-ffd8-43b3-a6a9-f005d6f9d403.jpg?v=1719819826"
"Ready Tulle Scarf","57422525321700","14981750456612","warehouse","1","","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/2_335efd83-ffd8-43b3-a6a9-f005d6f9d403.jpg?v=1719819826"
"Ready Tulle Scarf","57422525321700","14981770150180","warehouse","1","","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/2_335efd83-ffd8-43b3-a6a9-f005d6f9d403.jpg?v=1719819826"
"Ready Tulle Scarf","57422525321700","14981774049572","warehouse","1","","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/2_335efd83-ffd8-43b3-a6a9-f005d6f9d403.jpg?v=1719819826"
"Girly Chiffon Square","10011120030083","14981778932004","warehouse","1","Mauve","https://cdn.shopify.com/s/files/1/0852/8484/7908/products/F8MGseqh5odR5gINt1Bi0StYUyrk8s6Pi7OarWdE_99faecd4-d8e8-4ffd-8dd2-c3b39ecbb334.jpg?v=1706296400"
"Ready Tulle Scarf","57422525321700","14981780078884","warehouse","1","","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/2_335efd83-ffd8-43b3-a6a9-f005d6f9d403.jpg?v=1719819826"
"Ready Tulle Scarf","57422525321700","14981801443620","warehouse","1","","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/2_335efd83-ffd8-43b3-a6a9-f005d6f9d403.jpg?v=1719819826"
"Ready Tulle Scarf","57422525321700","14981817368868","warehouse","1","","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/2_335efd83-ffd8-43b3-a6a9-f005d6f9d403.jpg?v=1719819826"
"Ready Tulle Scarf","57422525321700","14981822316836","warehouse","1","","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/2_335efd83-ffd8-43b3-a6a9-f005d6f9d403.jpg?v=1719819826"
"Ready Tulle Scarf","57422525321700","14981823103268","warehouse","1","","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/2_335efd83-ffd8-43b3-a6a9-f005d6f9d403.jpg?v=1719819826"
"Ready Tulle Scarf","57422525321700","14981839847716","warehouse","1","","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/2_335efd83-ffd8-43b3-a6a9-f005d6f9d403.jpg?v=1719819826"
"Ready Tulle Scarf","57422525321700","14981844271396","warehouse","1","","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/2_335efd83-ffd8-43b3-a6a9-f005d6f9d403.jpg?v=1719819826"
"Ready Tulle Scarf","57422525321700","14981848236324","warehouse","1","","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/2_335efd83-ffd8-43b3-a6a9-f005d6f9d403.jpg?v=1719819826"
"Ready Tulle Scarf","57422525321700","14981917409572","warehouse","1","","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/2_335efd83-ffd8-43b3-a6a9-f005d6f9d403.jpg?v=1719819826"
"Ready Tulle Scarf","57422525321700","14981917933860","warehouse","1","","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/2_335efd83-ffd8-43b3-a6a9-f005d6f9d403.jpg?v=1719819826"
"Cotton Lycra Turban","59022525241005","14981964824868","warehouse","1","Cafe","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/1_3826cf23-d2fe-47df-9f04-59987228fdb0.jpg?v=1713093112"
"Dress Extension","10055350600200","14981964857636","warehouse","1","Free size / OffWhite","https://cdn.shopify.com/s/files/1/0852/8484/7908/products/MKwRjVGYbm4x1dQssvnX5WPZYeGvMDw6JrbmUp4A_038596a5-5b93-4b33-bcbe-01bceb4a9a0b.webp?v=1706293552"
"Hijab Satin Scrunchie","83022020121740","14981964890404","warehouse","2","Free size / Black","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/7_28193c81-e8ee-439a-9102-d2a9c1959f44.jpg?v=1719239902"
"Cotton Lycra Turban","59022525241002","14981964923172","warehouse","1","Offwhite","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/4_41b45cd9-9b79-41fe-9fc5-67ad43a0e257.jpg?v=1713002117"
"Ordinary Pin (Pack of 5)","80044340200001","14981964955940","warehouse","1","","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/1_ba2825e6-5f66-4ee9-ade7-62b3c602bb44.jpg?v=1719502011"
"Pure Cotton Kuwaiti Cap With Tie Back","10022322500200","14981976621348","warehouse","1","Offwhite","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/1_5c3719c5-ca97-433c-b355-11e9cba7e002.jpg?v=1713709918"
"Cotton Crinkle Scarf","10011030959012","14981976654116","warehouse","1","LightCafe","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/5_05728310-10b4-4dda-b57f-f4ea194e95c2.jpg?v=1715698869"
"Soft Lycra Scarf","10411030807002","14981976686884","warehouse","1","OffWhite","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/14_aef4cba8-ba65-44b8-a012-1ee896f0eebc.jpg?v=1712585118"
"Cotton Crinkle Scarf","10011030959239","14981976719652","warehouse","1","LimeGreen","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/3_02952f8b-57d7-4034-b253-888f04d601ca.jpg?v=1713083538"
"Soft Lycra Scarf","10411030807010","14981976752420","warehouse","1","SandBeige","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/3_6a8df424-3fa6-46ef-85e3-e22b22777941.jpg?v=1712585163"
"Soft Lycra Scarf","10411030807217","14981976785188","warehouse","1","Black","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/12_fc40fb8a-e2a2-4213-b538-20e566b1076e.jpg?v=1712585169"
"Luxury Linen Scarf","10411030981012","14981976817956","warehouse","1","Olive","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/7_11aec33a-2b7a-4179-8472-ff85e244ac32.jpg?v=1716393457"
"Luxury Linen Scarf","10411030981114","14981976850724","warehouse","1","LightCafe","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/8_06d63d69-f41b-4bb1-a3d4-ea108476d450.jpg?v=1716393466"
"Floral Finesse Chiffon Scarf","10011001014899","14981992087844","warehouse","1","","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/1_f9e54546-9168-427c-9bb0-d50ee09425cb.jpg?v=1710677530"
"Mystic Chiffon Scarf","10011001014929","14981992120612","warehouse","1","","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/1_f3d9b0b6-249d-4ec5-bd52-7e53bff54c9f.jpg?v=1710674908"
"Plain Pure Scarf (Big Size)","10011020023002","14981992153380","warehouse","1","Offwhite","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/10011020023002.jpg?v=1719320925"
"Plain Pure Scarf (Big Size)","10011020023003","14981992186148","warehouse","1","Almond","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/10011020023003.jpg?v=1719321378"
"Plain Pure Scarf (Big Size)","10011020023004","14981992218916","warehouse","1","Beige","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/10011020023004.jpg?v=1719321069"
"Pure Chiffon Crinkle Scarf","10011020013002","14981992251684","warehouse","1","White","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/10_b7accd68-fb6e-447d-ad4a-41e2f0dc1513.jpg?v=1719915576"
"Black Dots Chiffon Scarf","10011001013341","14981992284452","warehouse","1","","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/76.jpg?v=1711200129"
"Inner Silk Underscarf","10022424600200","14981992317220","warehouse","1","OffWhite","https://cdn.shopify.com/s/files/1/0852/8484/7908/products/I6dcsqDoszOIAMJGrEFnUAeZppGJ57KH2ExL54Oh_7b117b2c-87e7-461b-a643-d83f6b984434.jpg?v=1706295624"
"Basic Sleeves Dress","31499494121700","14984719565092","warehouse","1","Black / Free size","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/3_8952c5a8-b3e6-4eee-b53d-302efee875a0.jpg?v=1716904706"
"Ready Tulle Scarf","57422525321700","14984766226724","warehouse","1","","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/2_335efd83-ffd8-43b3-a6a9-f005d6f9d403.jpg?v=1719819826"
"Ready Tulle Scarf","57422525321700","14984783495460","warehouse","2","","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/2_335efd83-ffd8-43b3-a6a9-f005d6f9d403.jpg?v=1719819826"
